START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/28/18,02:10 PM,03:10 PM,Cubs at Dodgers,Dodger Stadium - Los Angeles,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",06/28/18,06/28/18,05:10 PM,06:10 PM,FALSE,TRUE,06/28/18,01:10 PM,02:10 PM,FREE,BUSY
06/29/18,04:05 PM,05:05 PM,Twins at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score- WRTO 1200",06/29/18,06/29/18,07:05 PM,08:05 PM,FALSE,TRUE,06/29/18,03:05 PM,04:05 PM,FREE,BUSY
06/30/18,01:20 PM,02:20 PM,Twins at Cubs,Wrigley Field - Chicago,"Local TV: ABC 7 ----- Local Radio: 670 The Score",06/30/18,06/30/18,04:20 PM,05:20 PM,FALSE,TRUE,06/30/18,12:20 PM,01:20 PM,FREE,BUSY
07/01/18,01:20 PM,02:20 PM,Twins at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score",07/01/18,07/01/18,04:20 PM,05:20 PM,FALSE,TRUE,07/01/18,12:20 PM,01:20 PM,FREE,BUSY
07/03/18,01:20 PM,02:20 PM,Tigers at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",07/03/18,07/03/18,04:20 PM,05:20 PM,FALSE,TRUE,07/03/18,12:20 PM,01:20 PM,FREE,BUSY
07/04/18,01:20 PM,02:20 PM,Tigers at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score- WRTO 1200",07/04/18,07/04/18,04:20 PM,05:20 PM,FALSE,TRUE,07/04/18,12:20 PM,01:20 PM,FREE,BUSY
07/06/18,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score- WRTO 1200",07/06/18,07/06/18,04:20 PM,05:20 PM,FALSE,TRUE,07/06/18,12:20 PM,01:20 PM,FREE,BUSY
07/07/18,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",07/07/18,07/07/18,04:20 PM,05:20 PM,FALSE,TRUE,07/07/18,12:20 PM,01:20 PM,FREE,BUSY
07/08/18,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score",07/08/18,07/08/18,04:20 PM,05:20 PM,FALSE,TRUE,07/08/18,12:20 PM,01:20 PM,FREE,BUSY
07/09/18,09:15 PM,10:15 PM,Cubs at Giants,AT&T Park - San Francisco,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",07/10/18,07/10/18,12:15 AM,01:15 AM,FALSE,TRUE,07/09/18,08:15 PM,09:15 PM,FREE,BUSY
07/10/18,09:15 PM,10:15 PM,Cubs at Giants,AT&T Park - San Francisco,"Local TV: ABC 7 ----- Local Radio: 670 The Score",07/11/18,07/11/18,12:15 AM,01:15 AM,FALSE,TRUE,07/10/18,08:15 PM,09:15 PM,FREE,BUSY
07/11/18,02:45 PM,03:45 PM,Cubs at Giants,AT&T Park - San Francisco,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",07/11/18,07/11/18,05:45 PM,06:45 PM,FALSE,TRUE,07/11/18,01:45 PM,02:45 PM,FREE,BUSY
07/13/18,09:10 PM,10:10 PM,Cubs at Padres,Petco Park - San Diego,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",07/14/18,07/14/18,12:10 AM,01:10 AM,FALSE,TRUE,07/13/18,08:10 PM,09:10 PM,FREE,BUSY
07/14/18,09:10 PM,10:10 PM,Cubs at Padres,Petco Park - San Diego,"Local TV: ABC 7 ----- Local Radio: 670 The Score",07/15/18,07/15/18,12:10 AM,01:10 AM,FALSE,TRUE,07/14/18,08:10 PM,09:10 PM,FREE,BUSY
07/15/18,03:10 PM,04:10 PM,Cubs at Padres,Petco Park - San Diego,"Local TV: WGN ----- Local Radio: 670 The Score",07/15/18,07/15/18,06:10 PM,07:10 PM,FALSE,TRUE,07/15/18,02:10 PM,03:10 PM,FREE,BUSY
07/19/18,06:05 PM,07:05 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local Radio: 670 The Score",07/19/18,07/19/18,09:05 PM,10:05 PM,FALSE,TRUE,07/19/18,05:05 PM,06:05 PM,FREE,BUSY
07/20/18,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score- WRTO 1200",07/20/18,07/20/18,04:20 PM,05:20 PM,FALSE,TRUE,07/20/18,12:20 PM,01:20 PM,FREE,BUSY
07/21/18,12:05 PM,01:05 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score",07/21/18,07/21/18,03:05 PM,04:05 PM,FALSE,TRUE,07/21/18,11:05 AM,12:05 PM,FREE,BUSY
07/21/18,06:15 PM,07:15 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: FOX ----- Local Radio: 670 The Score",07/21/18,07/21/18,09:15 PM,10:15 PM,FALSE,TRUE,07/21/18,05:15 PM,06:15 PM,FREE,BUSY
07/22/18,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: ABC 7 ----- Local Radio: 670 The Score",07/22/18,07/22/18,04:20 PM,05:20 PM,FALSE,TRUE,07/22/18,12:20 PM,01:20 PM,FREE,BUSY
07/23/18,07:05 PM,08:05 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",07/23/18,07/23/18,10:05 PM,11:05 PM,FALSE,TRUE,07/23/18,06:05 PM,07:05 PM,FREE,BUSY
07/24/18,07:05 PM,08:05 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score",07/24/18,07/24/18,10:05 PM,11:05 PM,FALSE,TRUE,07/24/18,06:05 PM,07:05 PM,FREE,BUSY
07/25/18,01:20 PM,02:20 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",07/25/18,07/25/18,04:20 PM,05:20 PM,FALSE,TRUE,07/25/18,12:20 PM,01:20 PM,FREE,BUSY
07/26/18,01:20 PM,02:20 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score- WRTO 1200",07/26/18,07/26/18,04:20 PM,05:20 PM,FALSE,TRUE,07/26/18,12:20 PM,01:20 PM,FREE,BUSY
07/27/18,07:15 PM,08:15 PM,Cubs at Cardinals,Busch Stadium - St. Louis,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",07/27/18,07/27/18,10:15 PM,11:15 PM,FALSE,TRUE,07/27/18,06:15 PM,07:15 PM,FREE,BUSY
07/28/18,03:05 PM,04:05 PM,Cubs at Cardinals,Busch Stadium - St. Louis,"Local TV: NBC Sports Chicago- FS1 ----- Local Radio: 670 The Score",07/28/18,07/28/18,06:05 PM,07:05 PM,FALSE,TRUE,07/28/18,02:05 PM,03:05 PM,FREE,BUSY
07/29/18,07:05 PM,08:05 PM,Cubs at Cardinals,Busch Stadium - St. Louis,"Local TV: ESPN ----- Local Radio: 670 The Score",07/29/18,07/29/18,10:05 PM,11:05 PM,FALSE,TRUE,07/29/18,06:05 PM,07:05 PM,FREE,BUSY
07/31/18,06:05 PM,07:05 PM,Cubs at Pirates,PNC Park - Pittsburgh,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",07/31/18,07/31/18,09:05 PM,10:05 PM,FALSE,TRUE,07/31/18,05:05 PM,06:05 PM,FREE,BUSY
08/01/18,06:05 PM,07:05 PM,Cubs at Pirates,PNC Park - Pittsburgh,"Local TV: WGN ----- Local Radio: 670 The Score",08/01/18,08/01/18,09:05 PM,10:05 PM,FALSE,TRUE,08/01/18,05:05 PM,06:05 PM,FREE,BUSY
08/02/18,07:05 PM,08:05 PM,Padres at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",08/02/18,08/02/18,10:05 PM,11:05 PM,FALSE,TRUE,08/02/18,06:05 PM,07:05 PM,FREE,BUSY
08/03/18,01:20 PM,02:20 PM,Padres at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score- WRTO 1200",08/03/18,08/03/18,04:20 PM,05:20 PM,FALSE,TRUE,08/03/18,12:20 PM,01:20 PM,FREE,BUSY
08/04/18,01:20 PM,02:20 PM,Padres at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",08/04/18,08/04/18,04:20 PM,05:20 PM,FALSE,TRUE,08/04/18,12:20 PM,01:20 PM,FREE,BUSY
08/05/18,01:20 PM,02:20 PM,Padres at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score",08/05/18,08/05/18,04:20 PM,05:20 PM,FALSE,TRUE,08/05/18,12:20 PM,01:20 PM,FREE,BUSY
08/06/18,07:15 PM,08:15 PM,Cubs at Royals,Kauffman Stadium - Kansas City,"Local TV: NBC Sports Chicago+ ----- Local Radio: 670 The Score",08/06/18,08/06/18,10:15 PM,11:15 PM,FALSE,TRUE,08/06/18,06:15 PM,07:15 PM,FREE,BUSY
08/07/18,07:15 PM,08:15 PM,Cubs at Royals,Kauffman Stadium - Kansas City,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",08/07/18,08/07/18,10:15 PM,11:15 PM,FALSE,TRUE,08/07/18,06:15 PM,07:15 PM,FREE,BUSY
08/08/18,07:15 PM,08:15 PM,Cubs at Royals,Kauffman Stadium - Kansas City,"Local TV: WGN ----- Local Radio: 670 The Score",08/08/18,08/08/18,10:15 PM,11:15 PM,FALSE,TRUE,08/08/18,06:15 PM,07:15 PM,FREE,BUSY
08/10/18,01:20 PM,02:20 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score- WRTO 1200",08/10/18,08/10/18,04:20 PM,05:20 PM,FALSE,TRUE,08/10/18,12:20 PM,01:20 PM,FREE,BUSY
